,Quarter,Municipality,Total,Males,Females,Non-binary/Other,Icelandic citizens,Foreign citizens
395,2012Q2, Gardabaer,13500,6670,6830,.,13120,370
396,2012Q2, Hafnarfjardarkaupstadur,26290,12950,13340,.,24640,1650
397,2012Q2, Mosfellsbaer,8730,4450,4290,.,8430,300
398,2012Q2, Kjosarhreppur,210,110,100,.,200,5
399,2012Q2,Other regions,114700,58520,56170,.,107950,6750
400,2012Q2, Reykjanesbaer,13990,7080,6900,.,12810,1170
401,2012Q2, Grindavikurbaer,2780,1420,1360,.,2580,200
402,2012Q2, Sveitarfelagid Vogar,1120,580,540,.,1050,70
403,2012Q2, Sudurnesjabaer,3010,1570,1440,.,2650,360
404,2012Q2, Akraneskaupstadur,6550,3340,3220,.,6170,380
405,2012Q2, Skorradalshreppur,60,35,25,.,60,.
406,2012Q2, Hvalfjardarsveit,600,320,280,.,570,30
407,2012Q2, Borgarbyggd,3430,1760,1670,.,3290,140
408,2012Q2, Grundarfjardarbaer,900,450,450,.,790,110
409,2012Q2, Eyja- og Miklaholtshreppur,140,70,70,.,110,30
410,2012Q2, Snaefellsbaer,1730,890,830,.,1500,230
411,2012Q2, Sveitarfelagid Stykkisholmur,1130,590,540,.,1060,70
412,2012Q2, Dalabyggd,680,360,320,.,660,25
413,2012Q2, Bolungarvikurkaupstadur,900,470,430,.,790,100
414,2012Q2, Isafjardarbaer,3700,1850,1850,.,3380,320
415,2012Q2, Reykholahreppur,270,140,130,.,270,5
416,2012Q2, Vesturbyggd,1180,620,560,.,1040,140
